feature,importance
Have you ever had suicidal thoughts ?,0.20690535603147114
Academic Pressure,0.17482207872228084
Financial Stress,0.10305311653701645
CGPA,0.10216976516067357
Age,0.09589422937077738
Work/Study Hours,0.08160142540383326
Degree,0.07269979833053647
Study Satisfaction,0.0496527291807168
Dietary Habits,0.0391431855247326
Sleep Duration,0.038291940773778024
Gender,0.01813786650735135
Family History of Mental Illness,0.017127978480833618
Profession,0.00042483753660802284
Job Satisfaction,6.499225153789779e-05
Work Pressure,1.0700187852635446e-05
